event_type,event_cause,veh_type,requires_road_closure,hour,day_of_week,month,location_cluster,incident_distance,priority,resolution_minutes,latitude,longitude
unplanned,vehicle_breakdown,lcv,False,17,3,3,6,78.60723500419944,High,153.99601163333332,13.0400041,77.5180991
unplanned,vehicle_breakdown,heavy_vehicle,False,4,1,1,9,78.71305803313464,High,10.37759965,12.9218755,77.6451585
unplanned,others,Unknown,False,6,5,11,0,78.65996614428188,Low,115117.99898338334,12.955622,77.5857083
unplanned,tree_fall,Unknown,True,17,3,3,1,0.00012282056016359234,Low,9465.1748175,13.0061469,77.5794348
unplanned,vehicle_breakdown,private_bus,False,4,1,1,0,78.65922720225409,Low,38.74985133333333,12.95398,77.5852333
unplanned,accident,Unknown,False,3,1,11,32,78.69227229101922,Low,88.34914565000001,13.0664854,77.5998755
unplanned,vehicle_breakdown,bmtc_bus,False,7,1,1,35,78.55982685599153,Low,129.3528978,12.9328703,77.4879814
unplanned,others,Unknown,False,6,1,1,25,78.6773458147739,Low,24202.316534683334,12.973175,77.6003961
planned,public_event,Unknown,False,2,0,2,25,78.67743236136036,High,720.0002844333334,12.97883573,77.59953728
unplanned,vehicle_breakdown,lcv,False,5,1,1,4,78.74086097928624,Low,129.9647537,13.0373543,77.6540442
unplanned,water_logging,Unknown,False,18,3,3,11,78.76177639202533,High,9348.299658233333,13.0008457,77.6813712
unplanned,vehicle_breakdown,private_car,False,5,1,1,10,78.60063553711295,High,134.68293345,12.94457,77.5274017
unplanned,water_logging,Unknown,False,18,3,3,11,78.76291774721241,High,94.20590969999999,12.9995223,77.6827499
unplanned,others,Unknown,False,19,1,12,32,78.6830936407918,High,103674.87132366667,13.0418933,77.594705
unplanned,pot_holes,Unknown,False,19,3,3,25,78.7026416320164,High,5.938111783333333,12.975285,77.6256902
unplanned,others,Unknown,False,19,3,3,32,78.68532203094007,High,1.4639476333333334,13.0633917,77.5933483
unplanned,others,Unknown,False,19,3,3,32,78.68527992973416,High,5.486051616666667,13.063425,77.5933
unplanned,others,Unknown,False,19,3,3,4,78.72675543884279,High,10.44971145,13.0254527,77.6417388
unplanned,tree_fall,Unknown,False,19,3,3,19,78.65937257437496,Low,293.34501861666666,12.9233517,77.5904883
unplanned,vehicle_breakdown,ksrtc_bus,False,4,1,1,16,78.66568435348499,High,166.51155088333334,13.0001393,77.5840594
unplanned,vehicle_breakdown,heavy_vehicle,False,19,3,3,9,78.69434205535535,High,27.248760933333333,12.9071221,77.6286395
unplanned,tree_fall,Unknown,True,19,3,3,7,2.24439301376506e-05,Low,2928.5208227166668,12.927375,77.5806883
unplanned,pot_holes,Unknown,False,22,4,1,19,78.66285872274345,Low,89112.40244776667,12.9169074,77.5950955
unplanned,pot_holes,Unknown,False,8,1,1,11,78.73664509799465,Low,14.834215083333333,12.9667047,77.6615983
