iter	TotalF1	MultiClass
0	0.5792186473	1.368600967
1	0.5817746724	1.351237323
2	0.5801760159	1.335917299
3	0.5756594073	1.320939739
4	0.5687154114	1.306236957
5	0.5703333886	1.292304831
6	0.5623962918	1.279526962
7	0.5787063731	1.264649402
8	0.5742049167	1.250292651
9	0.5848400283	1.236090214
10	0.5990078239	1.222460487
11	0.6032744811	1.209389037
12	0.6083421964	1.196830264
13	0.6121644478	1.184793106
14	0.6121798263	1.173283078
15	0.6102629925	1.162672479
16	0.6100879704	1.152237114
17	0.6112353786	1.142451401
18	0.6118008444	1.132577254
19	0.6104899996	1.123416148
20	0.6103442417	1.114314646
21	0.6101058101	1.105496415
22	0.6097585101	1.096889733
23	0.6113664836	1.088500839
24	0.6125014268	1.080607593
25	0.6133261797	1.072711278
26	0.6125276672	1.065373625
27	0.6129163769	1.058157628
28	0.613451198	1.05102013
29	0.6142445851	1.044770846
30	0.6146320479	1.03830858
31	0.614327077	1.031752498
32	0.6135791258	1.025719051
33	0.6137869837	1.019768221
34	0.6146141294	1.014019568
35	0.614266711	1.008276074
36	0.6137345875	1.002723163
37	0.6134124502	0.997373627
38	0.6136116658	0.9934368379
39	0.6133269309	0.9883602673
40	0.6143894386	0.9832736951
41	0.6151003375	0.9781655565
42	0.616176786	0.9736561707
43	0.615833954	0.9690699239
44	0.6162621224	0.9648700559
45	0.6157927141	0.9604625758
46	0.6165155073	0.9563109272
47	0.6164593918	0.9522772879
48	0.6160909813	0.9485579641
49	0.6161186679	0.94494892
50	0.6164083346	0.94077936
51	0.6165863781	0.9371609575
52	0.6176647326	0.9332104276
53	0.6172614327	0.9298605296
54	0.6175617147	0.9266030921
55	0.6173106754	0.923001453
56	0.6174702458	0.9200422587
57	0.6172490271	0.9168153388
58	0.6172547365	0.9136620284
59	0.6172663916	0.9108361451
60	0.6177783943	0.9078720949
61	0.6178136693	0.9052996426
62	0.6177273768	0.9022969811
63	0.6178409488	0.8997879887
64	0.6179602045	0.8968785553
65	0.6175385605	0.8942047853
66	0.6179916315	0.8924340891
67	0.6177254176	0.889962805
68	0.6182758744	0.887190371
69	0.6198294682	0.8846956311
70	0.620423125	0.8821790275
71	0.6207443666	0.8798390524
72	0.6206906275	0.8778616797
73	0.6208519262	0.8759364615
74	0.6204702421	0.8736571191
75	0.6198253977	0.8716775479
76	0.6199866149	0.8701463493
77	0.6202551231	0.8685649122
78	0.6204744037	0.8667803427
79	0.6204522258	0.8653687686
80	0.6203079626	0.8632874792
81	0.6205220298	0.8616017957
82	0.6205267914	0.8597744519
83	0.6205267914	0.8580695954
84	0.6213248149	0.8561385976
85	0.6211114019	0.8548044936
86	0.6210642101	0.8530248087
87	0.6212955337	0.8511903498
88	0.6225182242	0.8494780468
89	0.6233245135	0.8477714708
90	0.6232176906	0.8465152447
91	0.6224200409	0.8449223512
92	0.6224158063	0.8436246369
93	0.622800809	0.8420153618
94	0.6226277227	0.8409815358
95	0.623126281	0.8394206734
96	0.6235496452	0.837895323
97	0.6238125529	0.8364422977
98	0.6239956558	0.8352290772
99	0.6245327867	0.8337964468
100	0.6242061012	0.8325072796
101	0.6245961032	0.8313248019
102	0.6244726068	0.829992251
103	0.6244454647	0.8290306902
104	0.624333614	0.8278702902
105	0.6247070727	0.8269986785
106	0.6245938099	0.8260257462
107	0.624270848	0.8249700903
108	0.6241073665	0.8236873847
109	0.6243162342	0.8227180256
110	0.6246891273	0.821725657
111	0.6250203583	0.8206641278
112	0.6321365711	0.8195379945
113	0.6357357652	0.8186047255
