iter	Passed	Remaining
0	153	307773
1	173	172896
2	190	126691
3	298	149018
4	311	124290
5	334	111310
6	351	99963
7	441	109919
8	451	99901
9	512	102021
10	561	101538
11	590	97772
12	690	105497
13	727	103208
14	795	105233
15	823	102073
16	868	101259
17	1037	114211
18	1073	111960
19	1090	107925
20	1119	105503
21	1140	102510
22	1274	109515
23	1371	112928
24	1511	119380
25	1634	124093
26	1652	120770
27	1805	127178
28	1924	130793
29	2079	136570
30	2100	133421
31	2232	137296
32	2251	134215
33	2274	131532
34	2309	129684
35	2406	131276
36	2459	130507
37	2562	132288
38	2572	129338
39	2598	127304
40	2777	132713
41	2899	135165
42	2927	133224
43	2970	132031
44	3038	131985
45	3169	134637
46	3269	135877
47	3292	133879
48	3307	131704
49	3321	129532
50	3463	132342
51	3500	131146
52	3700	135949
53	3724	134235
54	3750	132647
55	3875	134519
56	3889	132572
57	3937	131825
58	4141	136238
59	4179	135134
60	4307	136935
61	4319	135008
62	4430	136211
63	4455	134767
64	4579	136321
65	4728	138549
66	4742	136815
67	4874	138487
68	4991	139696
69	5110	140903
70	5241	142394
71	5363	143613
72	5409	142799
73	5436	141486
74	5574	143085
75	5626	142446
76	5640	140877
77	5662	139541
78	5698	138574
79	5709	137034
80	5834	138223
81	5858	137032
82	5882	135861
83	5996	136785
84	6154	138646
85	6166	137241
86	6301	138567
87	6434	139807
88	6578	141257
89	6699	142175
90	6721	141001
91	6777	140555
92	6817	139799
93	6938	140695
94	6956	139503
95	7075	140340
96	7262	142485
97	7457	144738
98	7604	146030
99	7763	147504
100	7919	148904
101	8061	150006
102	8207	151167
103	8234	150123
104	8423	152028
105	8439	150789
106	8478	150006
107	8562	150009
108	8722	151328
109	8773	150751
110	8863	150838
111	8916	150300
112	9140	152640
113	9181	151892
114	9288	152245
115	9298	151014
116	9445	152009
117	9461	150904
118	9603	151795
119	9736	152537
120	9746	151352
121	9849	151625
122	9967	152112
123	10061	152221
124	10177	152655
125	10306	153283
126	10444	154033
127	10538	154124
128	10653	154523
129	10671	153511
130	10695	152594
131	10822	153152
132	10916	153237
133	10999	153166
134	11008	152085
135	11163	153011
136	11202	152336
137	11296	152424
138	11391	152519
139	11487	152619
140	11614	153125
141	11626	152128
142	11720	152199
